prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
0,icl,knowledge/country_capital,0,1,Empire of Japan,Iraq,Homs Governorate,Straits Settlements,Afghan Transitional Administration,Province of Florence,Khalji dynasty,occupation of Japan,Egypt,United States Army Military Government in Korea,Tokyo,Baghdad,Damascus,Singapore,Kabul,Florence,Delhi,Tokyo,Cairo,Seoul,First Czechoslovak Republic,Prague,"Empire of Japan → Tokyo
Iraq → Baghdad
Homs Governorate → Damascus
Straits Settlements → Singapore
Afghan Transitional Administration → Kabul
Province of Florence → Florence
Khalji dynasty → Delhi
occupation of Japan → Tokyo
Egypt → Cairo
United States Army Military Government in Korea → Seoul
First Czechoslovak Republic →"
1,query_only,knowledge/country_capital,0,0,,,,,,,,,,,,,,,,,,,,,Free State of Prussia,Berlin,Free State of Prussia →
2,icl,knowledge/country_capital,1,3,Kingdom of Valencia,Kingdom of the Netherlands,Mandatory Palestine,Austria-Hungary,Hawaii,Ayyubid dynasty,United States Army Military Government in Korea,Jamaica,Kabul Shahi,Roman Empire,Valencia,Amsterdam,Jerusalem,Vienna,Honolulu,Cairo,Seoul,Kingston,Kabul,Constantinople,Free State of Prussia,Berlin,"Kingdom of Valencia → Valencia
Kingdom of the Netherlands → Amsterdam
Mandatory Palestine → Jerusalem
Austria-Hungary → Vienna
Hawaii → Honolulu
Ayyubid dynasty → Cairo
United States Army Military Government in Korea → Seoul
Jamaica → Kingston
Kabul Shahi → Kabul
Roman Empire → Constantinople
Free State of Prussia →"
3,query_only,knowledge/country_capital,1,2,,,,,,,,,,,,,,,,,,,,,Labuan,Victoria,Labuan →
4,icl,knowledge/country_capital,2,5,Finnish Socialist Workers' Republic,Egypt,Lazio,Portugal,Kiev-Sviatoshyn Raion,Allied-occupied Germany,Kingdom of Libya,Saxony,British America,Scotland,Helsinki,Cairo,Rome,Lisbon,Kiev,Berlin,Tripoli,Dresden,London,Edinburgh,Labuan,Victoria,"Finnish Socialist Workers' Republic → Helsinki
Egypt → Cairo
Lazio → Rome
Portugal → Lisbon
Kiev-Sviatoshyn Raion → Kiev
Allied-occupied Germany → Berlin
Kingdom of Libya → Tripoli
Saxony → Dresden
British America → London
Scotland → Edinburgh
Labuan →"
5,query_only,knowledge/country_capital,2,4,,,,,,,,,,,,,,,,,,,,,Second Spanish Republic,Madrid,Second Spanish Republic →
6,icl,knowledge/country_capital,3,7,Jerusalem District,Nazi Germany,Tripolitania,Kiev-Sviatoshyn Raion,Czech Socialist Republic,Philippines,Spain,Peru,Allied-occupied Germany,Roman Empire,Jerusalem,Berlin,Tripoli,Kiev,Prague,Manila,Madrid,Lima,Berlin,Constantinople,Second Spanish Republic,Madrid,"Jerusalem District → Jerusalem
Nazi Germany → Berlin
Tripolitania → Tripoli
Kiev-Sviatoshyn Raion → Kiev
Czech Socialist Republic → Prague
Philippines → Manila
Spain → Madrid
Peru → Lima
Allied-occupied Germany → Berlin
Roman Empire → Constantinople
Second Spanish Republic →"
7,query_only,knowledge/country_capital,3,6,,,,,,,,,,,,,,,,,,,,,McMinn County,Athens,McMinn County →
8,icl,knowledge/country_capital,4,9,Flemish Community,England,Homs Governorate,Metropolis of Greater Paris,Finnish Socialist Workers' Republic,Empire of Japan,Sovereign Military Order of Malta,Belgium,Baghdad Governorate,United States Army Military Government in Korea,Brussels,Winchester,Damascus,Paris,Helsinki,Tokyo,Rome,Brussels,Baghdad,Seoul,McMinn County,Athens,"Flemish Community → Brussels
England → Winchester
Homs Governorate → Damascus
Metropolis of Greater Paris → Paris
Finnish Socialist Workers' Republic → Helsinki
Empire of Japan → Tokyo
Sovereign Military Order of Malta → Rome
Belgium → Brussels
Baghdad Governorate → Baghdad
United States Army Military Government in Korea → Seoul
McMinn County →"
9,query_only,knowledge/country_capital,4,8,,,,,,,,,,,,,,,,,,,,,Achaemenid Empire,Babylon,Achaemenid Empire →
10,icl,knowledge/country_capital,5,11,Lazio,Anatolia Eyalet,South Yemen,Demerara,Denmark,Province of Venice,Bohemia,Paris Commune,Flanders,Belgium,Rome,Ankara,Aden,Georgetown,Copenhagen,Venice,Prague,Paris,Brussels,Brussels,Achaemenid Empire,Babylon,"Lazio → Rome
Anatolia Eyalet → Ankara
South Yemen → Aden
Demerara → Georgetown
Denmark → Copenhagen
Province of Venice → Venice
Bohemia → Prague
Paris Commune → Paris
Flanders → Brussels
Belgium → Brussels
Achaemenid Empire →"
11,query_only,knowledge/country_capital,5,10,,,,,,,,,,,,,,,,,,,,,Homs Governorate,Damascus,Homs Governorate →
